mca_preliminary_rank,company_name,latest_financial_year,total_wash_spend_crore,total_water_spend_crore,total_sanitation_spend_crore,states,nse_annual_report_status,bse_disclosure_status,csr_policy_status,brsr_status,latest_document_year,document_url,retrieved_on,ai_analysis_status
441,AG VENTURES LIMITED,FY2024-25,0.9585,0.8635,0.095,Haryana,PENDING,PENDING,PENDING,PENDING,,,,PENDING
442,AFABLEZ SEMICONDUCTOR PRIVATE LIMITED,FY2023-24,0.7254878,0.7254878,0.0,Tamil Nadu,PENDING,PENDING,PENDING,PENDING,,,,PENDING
443,PREMSONS MOTOR UDYOG PRIVATE LIMITED,FY2024-25,0.901,0.901,0.0,Jharkhand,PENDING,PENDING,PENDING,PENDING,,,,PENDING
444,BRANDIX APPAREL INDIA PRIVATE LIMITED,FY2024-25,0.6302092,0.0934272,0.536782,Andhra Pradesh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
445,NEKKANTI SEA FOODS LTD.,FY2023-24,0.4540579,0.4302569,0.023801,Andhra Pradesh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
446,POLYONE POLYMERS INDIA PRIVATE LIMITED,FY2022-23,0.4923165,0.2126695,0.279647,Maharashtra,PENDING,PENDING,PENDING,PENDING,,,,PENDING
447,HLL LIFECARE LIMITED,FY2024-25,0.82389398,0.0187134,0.80518058,"Karnataka, Kerala, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
448,BOKARO POWER SUPPLY COMPANY PRIVATE LIMITED,FY2024-25,0.348635,0.089673,0.258962,"Jharkhand, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
449,THE TRAVANCORE COCHIN CHEMICALS LIMITED,FY2023-24,1.5143091,1.5143091,0.0,Kerala,PENDING,PENDING,PENDING,PENDING,,,,PENDING
450,GLENMARK LIFE SCIENCES LIMITED,FY2022-23,3.3770320000000003,3.3770320000000003,0.0,"Gujarat, Maharashtra",PENDING,PENDING,PENDING,PENDING,,,,PENDING
451,KARNATAKA SOAPS AND DETERGENTS LIMITED,FY2019-20,3.3621676,3.2621676,0.1,Karnataka,PENDING,PENDING,PENDING,PENDING,,,,PENDING
452,TD POWER SYSTEMS LIMITED,FY2024-25,1.045,0.13,0.915,Karnataka,PENDING,PENDING,PENDING,PENDING,,,,PENDING
453,AJINOMOTO BIO-PHARMA SERVICES INDIA PRIVATE LIMITED,FY2023-24,0.311067707,0.244900207,0.0661675,Andhra Pradesh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
454,HAFELE INDIA PRIVATE LIMITED,FY2022-23,0.9459668,0.2208368,0.72513,"Maharashtra, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
455,HINDUSTAN GUM AND CHEMICALS LIMITED,FY2022-23,0.4920065,0.1970065,0.295,"Gujarat, Haryana",PENDING,PENDING,PENDING,PENDING,,,,PENDING
456,SESA MINING CORPORATION LIMITED,FY2023-24,0.2915440969999999,0.2815440969999999,0.01,"Andhra Pradesh, Goa",PENDING,PENDING,PENDING,PENDING,,,,PENDING
457,TITAN COMPANY LIMITED,FY2019-20,3.92,1.46,2.46,"Tamil Nadu, Uttarakhand",PENDING,PENDING,PENDING,PENDING,,,,PENDING
458,IFFCO-MC CROP SCIENCE PRIVATE LIMITED,FY2024-25,0.4914501,0.4914501,0.0,Uttar Pradesh,PENDING,PENDING,PENDING,PENDING,,,,PENDING
459,K B SAHA & SONS INDUSTRIES PRIVATE LIMITED,FY2024-25,0.4908744,0.4908744,0.0,West Bengal,PENDING,PENDING,PENDING,PENDING,,,,PENDING
460,CESC LTD,FY2021-22,1.9414163,1.9414163,0.0,West Bengal,PENDING,PENDING,PENDING,PENDING,,,,PENDING
461,KARNATAKA RURAL INFRASTRUCTURE DEVELOPMENT LIMITED,FY2023-24,1.9,0.15,1.75,Karnataka,PENDING,PENDING,PENDING,PENDING,,,,PENDING
462,METSIL EXPORTS . LTD.,FY2024-25,0.8139993999999999,0.8139993999999999,0.0,West Bengal,PENDING,PENDING,PENDING,PENDING,,,,PENDING
463,AMERICAN EXPRESS(INDIA) PRIVATE LIMITED,FY2024-25,1.900375,1.900375,0.0,Karnataka,PENDING,PENDING,PENDING,PENDING,,,,PENDING
464,APL METALS LIMITED,FY2023-24,0.4295,0.3725,0.057,"Pan India, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
465,BMW INDIA LEASING PRIVATE LIMITED,FY2020-21,1.27379041,1.27379041,0.0,"Delhi, Haryana",PENDING,PENDING,PENDING,PENDING,,,,PENDING
466,D. S. KNIT INDUSTRY PRIVATE LIMITED,FY2024-25,0.7314992,0.0163975,0.7151017000000001,"Pan India, West Bengal",PENDING,PENDING,PENDING,PENDING,,,,PENDING
467,TAMILNADU PETROPRODUCTS LIMITED,FY2022-23,0.948,0.0591,0.8889,Tamil Nadu,PENDING,PENDING,PENDING,PENDING,,,,PENDING
468,XEBIA IT ARCHITECTS INDIA PRIVATE LIMITED,FY2023-24,1.2280128,1.2280128,0.0,"Haryana, Maharashtra",PENDING,PENDING,PENDING,PENDING,,,,PENDING
469,SANOFI CONSUMER HEALTHCARE INDIA LIMITED,FY2023-24,4.2025,4.2025,0.0,Maharashtra,PENDING,PENDING,PENDING,PENDING,,,,PENDING
470,EASTMAN AUTO & POWER LIMITED,FY2024-25,0.2183706,0.2183706,0.0,"Himachal Pradesh, Pan India",PENDING,PENDING,PENDING,PENDING,,,,PENDING
471,NABFINS LIMITED,FY2023-24,1.17279,0.0196,1.15319,"Chhattisgarh, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu",PENDING,PENDING,PENDING,PENDING,,,,PENDING
472,ARCELORMITTAL NIPPON STEEL INDIA PRIVATE LIMITED,FY2024-25,1.6676815,1.6676815,0.0,"Chhattisgarh, Haryana, Odisha",PENDING,PENDING,PENDING,PENDING,,,,PENDING
473,KUTCH RAILWAY COMPANY LIMITED,FY2023-24,0.69484,0.038,0.65684,"Gujarat, Punjab",PENDING,PENDING,PENDING,PENDING,,,,PENDING
