Company Name,Financial Year,PSU/Non-PSU,CSR State,CSR Development Sector,CSR Sub Development Sector,Project Amount Spent (In INR Cr.)
Lanco Thermal Power Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.07
Ghcl Limited,FY 2014-15,Non-PSU,Gujarat,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.23
Tvs Srichakra Limited,FY 2014-15,Non-PSU,Tamil Nadu,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.24
Yes Bank Limited,FY 2014-15,Non-PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",7.53
Hb Portfolio Limited,FY 2014-15,Non-PSU,Jammu And Kashmir,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.07
Nucleus Software Exports Limited,FY 2014-15,Non-PSU,Rajasthan,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.09
Bosch Limited,FY 2014-15,Non-PSU,Rajasthan,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.23
Dow Agrosciences India Private Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.46
Central Coalfields Limited,FY 2014-15,PSU,Jharkhand,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",5.72
Toyota Kirloskar Motor Private Limited,FY 2014-15,Non-PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.46
Nestle India Limited,FY 2014-15,Non-PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.04
Nestle India Limited,FY 2014-15,Non-PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.51
Aditya Birla Nuvo Limited,FY 2014-15,Non-PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",4.68
Sree Rayalaseema Hi-Strength Hypo Limited,FY 2014-15,Non-PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
Suven Life Sciences Limited,FY 2014-15,Non-PSU,Telangana,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.15
Gurat State Fertilizers And Chemicals Limited,FY 2014-15,Non-PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.75
Moil Limited,FY 2014-15,PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.42
Man Industries (India) Limited,FY 2014-15,Non-PSU,Gujarat,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
South Eastern Coalfields Limited,FY 2014-15,PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.26
Feegrade & Co Pvt Ltd,FY 2014-15,Non-PSU,Odisha,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.11
Patnaik Minerals Private Limited,FY 2014-15,Non-PSU,Odisha,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
Penna Cement Industries Limited,FY 2014-15,Non-PSU,Telangana,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
Godrej And Boyce Manufacturing Company Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Western Consolidated Private Limited,FY 2014-15,Non-PSU,Rajasthan,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
Krishnapatnam Port Company Limited,FY 2014-15,Non-PSU,Andhra Pradesh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
Tm International Logistics Limited,FY 2014-15,Non-PSU,West Bengal,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Indianoil Petronas Private Limited,FY 2014-15,Non-PSU,Tamil Nadu,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Vedanta Limited,FY 2014-15,Non-PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.07
Northern Coalfields Limited,FY 2014-15,PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",3.49
Trbex Impex Private Limited,FY 2014-15,Non-PSU,Punjab,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.04
Honeywell Technology Solutions Lab Private Limited,FY 2014-15,Non-PSU,Telangana,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",6.22
Rural Electrification Corporation Limited,FY 2014-15,PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.39
Balasore Alloys Limited,FY 2014-15,Non-PSU,Odisha,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.06
Sealwel Corporation Private Limited,FY 2014-15,Non-PSU,Telangana,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0
Coal India Ltd Govt Of India Undertaking,FY 2014-15,PSU,West Bengal,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02
Coal India Ltd Govt Of India Undertaking,FY 2014-15,PSU,Uttar Pradesh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.06
Epc Industrie Limited,FY 2014-15,Non-PSU,Telangana,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
Hindustan Coca-Cola Beverages Private Limited,FY 2014-15,Non-PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.3
Tata Cummins Private Limited,FY 2014-15,Non-PSU,Jharkhand,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.85
Kraftex Trading Private Limited,FY 2014-15,Non-PSU,Maharashtra,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
Mitsui Chemicals India Private Limited,FY 2014-15,Non-PSU,Delhi,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.04
Radico Khaitan Limited,FY 2014-15,Non-PSU,Uttar Pradesh,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05
Kalyan Silks Trichur Private Limited,FY 2014-15,Non-PSU,Kerala,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
Tata Sponge Iron Limited,FY 2014-15,Non-PSU,Odisha,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
Tata Sponge Iron Limited,FY 2014-15,Non-PSU,Odisha,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02
Dsm Sinochem Pharmaceuticals India Private Limited,FY 2014-15,Non-PSU,Punjab,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02
The Ramco Cements Limited,FY 2014-15,Non-PSU,PAN India,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.15
Ramaraju Surgical Cotton Mills Limited,FY 2014-15,Non-PSU,Tamil Nadu,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
Rungta Mines Limited,FY 2014-15,Non-PSU,Odisha,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
Rungta Mines Limited,FY 2014-15,Non-PSU,Odisha,Safe Drinking Water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.44
