"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"Shree Ramkrishna Exports Private Limited","FY 2014-15",Non-PSU,Gujarat,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",3.1
"Kallam Spinning Mills Ltd","FY 2014-15",Non-PSU,"Andhra Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.03
"Bharat Aluminium Co Ltd","FY 2014-15",Non-PSU,Chhattisgarh,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Hazira Lng Private Limited","FY 2014-15",Non-PSU,Gujarat,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.37
"D S Kulkarni Developers Ltd","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Jindal Steel And Power Limited","FY 2014-15",Non-PSU,Jharkhand,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.41
"Apollo Tyres Limited.","FY 2014-15",Non-PSU,"Uttar Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.17
"Apollo Tyres Limited.","FY 2014-15",Non-PSU,Delhi,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.2
"Apollo Tyres Limited.","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.06
"Reddy Structures Private Limited","FY 2014-15",Non-PSU,Karnataka,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.11
"Blackrock Services India Private Limited","FY 2014-15",Non-PSU,Delhi,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Rashtriya Chemicals And Fertilizers Limited","FY 2014-15",PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.3
"Ircon International Limited","FY 2014-15",PSU,Delhi,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.43
"Fabindia Overseas Private Limited","FY 2014-15",Non-PSU,Delhi,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.5
"Glaxosmithkline Asia Private Limited","FY 2014-15",Non-PSU,"PAN India","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",4.1
"Cauvery Aqua Private Limited","FY 2014-15",Non-PSU,Karnataka,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.03
"Agility Logistics Private Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0
"Jungle Lodges And Resorts Limited","FY 2014-15",PSU,Karnataka,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.06
"Jungle Lodges And Resorts Limited","FY 2014-15",PSU,Karnataka,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.05
"Karnataka Renewable Energy Development Limited","FY 2014-15",PSU,Karnataka,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.48
"Godawari Power And Ispat Limited","FY 2014-15",Non-PSU,Chhattisgarh,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"Jvl Agro Industries Limited","FY 2014-15",Non-PSU,"Uttar Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.13
"Container Corporation Of India Limited","FY 2014-15",PSU,Odisha,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.54
"Welspun India Limited","FY 2014-15",Non-PSU,Gujarat,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.19
"Acb (India) Limited","FY 2014-15",Non-PSU,Chhattisgarh,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.07
"Dhanuka Agritech Limited","FY 2014-15",Non-PSU,Rajasthan,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.21
"City Union Bank Limited","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",1.08
"Acb (India) Limited","FY 2014-15",Non-PSU,Chhattisgarh,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.03
"Hindustan Aeronautics Limited","FY 2014-15",PSU,Odisha,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",1.65
"Ifci Limited","FY 2014-15",PSU,Punjab,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.11
"Welspun India Limited","FY 2014-15",Non-PSU,Gujarat,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",1.34
"Sansera Engineering Private Limited","FY 2014-15",Non-PSU,Karnataka,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.05
"Mobis India Limited","FY 2014-15",Non-PSU,"Tamil Nadu","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.25
"Praj Industries Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.03
"Praj Industries Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"Capital Local Area Bank Limited","FY 2014-15",Non-PSU,Punjab,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.13
"Mazagon Dock Shipbuilders Limited","FY 2014-15",PSU,"Uttar Pradesh","Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",1.0
"Sunteck Realty Limited","FY 2014-15",Non-PSU,Maharashtra,"Environmental Sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
